id,RelEv,TagDate,RelSite,RelLoc,RelDate,RelTime,wtempC,weight,FL,AirTime,CanID
39397,6,2016-03-05,S1,TISDALE,2016-03-06,850,14.7,33.7,148,1:26,6
39529,31,2016-03-14,S1,TISDALE,2016-03-16,159,11.4,33.7,149,1:25,2
39116,53,2016-03-16,S1,TISDALE,2016-03-18,959,12.2,33.7,148,1:20,3
36385,1,2016-02-20,S1,TISDALE,2016-02-21,538,11.4,33.8,145,2:28,1
36595,2,2016-02-20,S1,TISDALE,2016-02-21,1046,11.4,33.9,149,2:32,7
39329,8,2016-03-05,S1,TISDALE,2016-03-06,2105,14.4,33.9,149,1:39,14
36593,2,2016-02-20,S1,TISDALE,2016-02-21,1046,11.4,34,147,2:23,7
36377,3,2016-02-20,S1,TISDALE,2016-02-21,1702,13,34.1,147,1:41,11
39024,32,2016-03-14,S1,TISDALE,2016-03-16,1000,11.4,34.1,148,1:19,3
36431,4,2016-02-20,S1,TISDALE,2016-02-21,2301,13,34.2,139,2:11,13
36632,4,2016-02-20,S1,TISDALE,2016-02-21,2305,13,34.2,143,2:02,14
39361,7,2016-03-05,S1,TISDALE,2016-03-06,1436,14.1,34.2,148,1:28,10
38884,7,2016-03-05,S1,TISDALE,2016-03-06,1439,14.1,34.2,146,1:10,11
39389,6,2016-03-05,S1,TISDALE,2016-03-06,859,14.7,34.4,143,2:07,8
36474,2,2016-02-20,S1,TISDALE,2016-02-21,1046,11.4,34.5,148,1:39,7
39377,6,2016-03-05,S1,TISDALE,2016-03-06,859,14.7,34.5,148,1:34,8
36454,2,2016-02-20,S1,TISDALE,2016-02-21,1039,11.4,34.6,152,2:14,5
39342,8,2016-03-05,S1,TISDALE,2016-03-06,2105,14.4,34.6,147,2:17,14
39330,8,2016-03-05,S1,TISDALE,2016-03-06,2105,14.4,34.6,150,1:32,14
36354,1,2016-02-20,S1,TISDALE,2016-02-21,538,11.4,34.7,151,1:32,3
36669,2,2016-02-20,S1,TISDALE,2016-02-21,1049,11.4,34.7,150,1:09,8
38860,7,2016-03-05,S1,TISDALE,2016-03-06,1433,14.1,34.7,147,2:36,9
38938,13,2016-03-10,T2,TISDALE,2016-03-11,402,11,34.7,145,1:35,5
36397,1,2016-02-20,S1,TISDALE,2016-02-21,538,11.4,34.8,151,2:10,3
36345,1,2016-02-20,S1,TISDALE,2016-02-21,538,11.4,34.8,152,1:47,1
39318,8,2016-03-05,S1,TISDALE,2016-03-06,2112,14.4,34.8,150,1:41,16
36451,2,2016-02-20,S1,TISDALE,2016-02-21,1039,11.4,34.9,135,1:14,5
36374,3,2016-02-20,S1,TISDALE,2016-02-21,1702,13,34.9,150,1:41,11
36618,4,2016-02-20,S1,TISDALE,2016-02-21,2311,13,34.9,146,2:12,16
36534,3,2016-02-20,S1,TISDALE,2016-02-21,1706,13,35,151,2:04,12
39425,5,2016-03-05,S1,TISDALE,2016-03-06,306,14.1,35,148,1:27,2
39017,30,2016-03-14,S1,TISDALE,2016-03-15,1800,14.4,35,148,1:19,1
36487,2,2016-02-20,S1,TISDALE,2016-02-21,1039,11.4,35.1,149,1:37,5
36428,4,2016-02-20,S1,TISDALE,2016-02-21,2301,13,35.2,145,1:46,13
39393,6,2016-03-05,S1,TISDALE,2016-03-06,850,14.7,35.2,148,1:35,6
